Area_territoriale,Regione,Prov,Comune_ISTAT,Comune_cat,Sez,Comune_amm,Comune_descrizione,Fascia,Zona,LinkZona,Cod_Tip,Descr_Tipologia,Stato,Stato_prev,Compr_min,Compr_max,Sup_NL_compr,Loc_min,Loc_max,Sup_NL_loc,semestre,city,compr_medio,loc_medio
CENTRO,TOSCANA,FI,9048021,I1AY, ,E169,GREVE IN CHIANTI,B,B1,FI00000715,20,Abitazioni civili,NORMALE,P,1500,2150,L,4.7,6.7,L,2023_1,Firenze,1825.0,5.7
CENTRO,TOSCANA,FI,9048021,I1AY, ,E169,GREVE IN CHIANTI,E,E1,FI00000716,20,Abitazioni civili,NORMALE,P,1500,2250,L,4.8,7.2,L,2023_1,Firenze,1875.0,6.0
CENTRO,TOSCANA,FI,9048021,I1AY, ,E169,GREVE IN CHIANTI,E,E4,FI00001155,20,Abitazioni civili,NORMALE,P,1450,2150,L,4.5,6.7,L,2023_1,Firenze,1800.0,5.6
CENTRO,TOSCANA,FI,9048021,I1AY, ,E169,GREVE IN CHIANTI,R,R1,FI00001156,20,Abitazioni civili,NORMALE,P,1550,2250,L,4.4,6.4,L,2023_1,Firenze,1900.0,5.4
CENTRO,TOSCANA,FI,9048022,I1AZ, ,E291,IMPRUNETA,B,B1,FI00000518,20,Abitazioni civili,NORMALE,P,1550,2300,L,5.2,7.7,L,2023_1,Firenze,1925.0,6.45
CENTRO,TOSCANA,FI,9048022,I1AZ, ,E291,IMPRUNETA,E,E2,FI00001735,20,Abitazioni civili,NORMALE,P,1700,2150,L,6.1,7.7,L,2023_1,Firenze,1925.0,6.9
CENTRO,TOSCANA,FI,9048022,I1AZ, ,E291,IMPRUNETA,R,R1,FI00001275,20,Abitazioni civili,NORMALE,P,1750,2400,L,6.1,8.4,L,2023_1,Firenze,2075.0,7.25
CENTRO,TOSCANA,FI,9048024,I1BB, ,E466,LASTRA A SIGNA,B,B1,FI00000298,20,Abitazioni civili,NORMALE,P,1750,2350,L,5.6,7.5,L,2023_1,Firenze,2050.0,6.55
CENTRO,TOSCANA,FI,9048024,I1BB, ,E466,LASTRA A SIGNA,D,D2,FI00001635,20,Abitazioni civili,NORMALE,P,1500,2050,L,5.0,6.8,L,2023_1,Firenze,1775.0,5.9
CENTRO,TOSCANA,FI,9048024,I1BB, ,E466,LASTRA A SIGNA,E,E2,FI00001449,20,Abitazioni civili,NORMALE,P,1750,2350,L,5.6,7.5,L,2023_1,Firenze,2050.0,6.55
CENTRO,TOSCANA,FI,9048024,I1BB, ,E466,LASTRA A SIGNA,E,E3,FI00001636,20,Abitazioni civili,NORMALE,P,1600,2100,L,5.3,7.0,L,2023_1,Firenze,1850.0,6.15
CENTRO,TOSCANA,FI,9048024,I1BB, ,E466,LASTRA A SIGNA,R,R1,FI00001450,20,Abitazioni civili,NORMALE,P,1600,2350,L,5.2,7.6,L,2023_1,Firenze,1975.0,6.4
CENTRO,TOSCANA,FI,9048025,I1BD, ,E668,LONDA,B,B1,FI00000855,20,Abitazioni civili,NORMALE,P,850,1250,L,2.9,4.3,L,2023_1,Firenze,1050.0,3.5999999999999996
CENTRO,TOSCANA,FI,9048025,I1BD, ,E668,LONDA,R,R1,FI00001495,20,Abitazioni civili,NORMALE,P,600,900,L,2.2,3.2,L,2023_1,Firenze,750.0,2.7
CENTRO,TOSCANA,FI,9048026,I1BE, ,E971,MARRADI,B,B1,FI00000701,20,Abitazioni civili,NORMALE,P,550,800,L,1.8,2.6,L,2023_1,Firenze,675.0,2.2
CENTRO,TOSCANA,FI,9048026,I1BE, ,E971,MARRADI,R,R1,FI00001262,20,Abitazioni civili,NORMALE,P,550,750,L,1.9,2.6,L,2023_1,Firenze,650.0,2.25
CENTRO,TOSCANA,FI,9048027,I1BF, ,F398,MONTAIONE,B,B1,FI00000304,20,Abitazioni civili,NORMALE,P,1000,1500,L,3.4,5.1,L,2023_1,Firenze,1250.0,4.25
CENTRO,TOSCANA,FI,9048027,I1BF, ,F398,MONTAIONE,R,R1,FI00001481,20,Abitazioni civili,NORMALE,P,1200,1800,L,4.2,6.3,L,2023_1,Firenze,1500.0,5.25
CENTRO,TOSCANA,FI,9048028,I1BH, ,F551,MONTELUPO FIORENTINO,B,B1,FI00000302,20,Abitazioni civili,NORMALE,P,1650,2100,L,5.0,6.4,L,2023_1,Firenze,1875.0,5.7
CENTRO,TOSCANA,FI,9048028,I1BH, ,F551,MONTELUPO FIORENTINO,D,D1,FI00001315,20,Abitazioni civili,NORMALE,P,1700,2150,L,5.4,6.8,L,2023_1,Firenze,1925.0,6.1
CENTRO,TOSCANA,FI,9048028,I1BH, ,F551,MONTELUPO FIORENTINO,R,R1,FI00001317,20,Abitazioni civili,NORMALE,P,1550,2050,L,5.1,6.7,L,2023_1,Firenze,1800.0,5.9
CENTRO,TOSCANA,FI,9048030,I1BJ, ,F648,MONTESPERTOLI,B,B2,FI00001196,20,Abitazioni civili,NORMALE,P,1400,2000,L,4.6,6.6,L,2023_1,Firenze,1700.0,5.6
CENTRO,TOSCANA,FI,9048030,I1BJ, ,F648,MONTESPERTOLI,E,E5,FI00001197,20,Abitazioni civili,NORMALE,P,1200,1800,L,3.9,5.8,L,2023_1,Firenze,1500.0,4.85
CENTRO,TOSCANA,FI,9048030,I1BJ, ,F648,MONTESPERTOLI,R,R1,FI00001199,20,Abitazioni civili,NORMALE,P,1500,2200,L,4.7,6.9,L,2023_1,Firenze,1850.0,5.800000000000001
CENTRO,TOSCANA,FI,9048031,I1BK, ,G270,PALAZZUOLO SUL SENIO,B,B1,FI00000311,20,Abitazioni civili,NORMALE,P,550,800,L,1.8,2.6,L,2023_1,Firenze,675.0,2.2
