Area_territoriale,Regione,Prov,Comune_ISTAT,Comune_cat,Sez,Comune_amm,Comune_descrizione,Fascia,Zona,LinkZona,Cod_Tip,Descr_Tipologia,Stato,Stato_prev,Compr_min,Compr_max,Sup_NL_compr,Loc_min,Loc_max,Sup_NL_loc,semestre,city,compr_medio,loc_medio
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D25,MI00000332,20,Abitazioni civili,NORMALE,P,2500,3500,L,7.5,11.2,L,2023_1,Milano,3000.0,9.35
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D28,MI00000335,20,Abitazioni civili,OTTIMO, ,3800,4600,L,11.6,16.0,L,2023_1,Milano,4200.0,13.8
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D28,MI00000335,20,Abitazioni civili,NORMALE,P,2800,3700,L,8.5,11.5,L,2023_1,Milano,3250.0,10.0
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D30,MI00004777,20,Abitazioni civili,OTTIMO, ,3300,4700,L,11.1,16.0,L,2023_1,Milano,4000.0,13.55
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D30,MI00004777,20,Abitazioni civili,NORMALE,P,2250,3200,L,7.3,11.0,L,2023_1,Milano,2725.0,9.15
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D31,MI00004778,20,Abitazioni civili,OTTIMO, ,3300,5100,L,10.8,17.0,L,2023_1,Milano,4200.0,13.9
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D31,MI00004778,20,Abitazioni civili,NORMALE,P,2100,3200,L,7.0,10.7,L,2023_1,Milano,2650.0,8.85
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D32,MI00004779,20,Abitazioni civili,OTTIMO, ,2700,4000,L,9.5,14.5,L,2023_1,Milano,3350.0,12.0
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D32,MI00004779,20,Abitazioni civili,NORMALE,P,2000,2600,L,7.1,9.4,L,2023_1,Milano,2300.0,8.25
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D33,MI00004780,20,Abitazioni civili,OTTIMO, ,3600,4300,L,10.3,13.0,L,2023_1,Milano,3950.0,11.65
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,D,D33,MI00004780,20,Abitazioni civili,NORMALE,P,2550,3600,L,7.5,10.2,L,2023_1,Milano,3075.0,8.85
