Quotazioni Immobiliari : Valori di Mercato - Semestre 2025/1 - elaborazione del 05-MAR-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C6;FI00000230;13;Box;NORMALE;P;2300;3400;L;9;13,5;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C6;FI00000230;1;Ville e Villini;NORMALE;P;2900;4000;L;8,9;12,3;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C6;FI00000230;9;Magazzini;NORMALE;P;1000;1600;L;4,8;7,7;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C6;FI00000230;5;Negozi;NORMALE;P;1600;2600;L;7,9;12,8;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C6;FI00000230;6;Uffici;NORMALE;P;1700;2800;L;6,2;10,3;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C6;FI00000230;10;Laboratori;NORMALE;P;800;1500;L;3,8;7,1;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C7;FI00000231;20;Abitazioni civili;NORMALE;P;2600;3200;L;10;13;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C7;FI00000231;21;Abitazioni di tipo economico;NORMALE;P;2100;2750;L;6,1;8;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C7;FI00000231;13;Box;NORMALE;P;1800;2700;L;7,1;10,6;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C7;FI00000231;9;Magazzini;NORMALE;P;850;1650;L;4;7,7;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C7;FI00000231;5;Negozi;NORMALE;P;1500;2600;L;7,1;12,4;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C7;FI00000231;6;Uffici;NORMALE;P;1600;2600;L;6,1;10;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C7;FI00000231;10;Laboratori;NORMALE;P;800;1600;L;3,8;7,6;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C9;FI00000233;20;Abitazioni civili;NORMALE;P;2800;3300;L;7;10;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C9;FI00000233;21;Abitazioni di tipo economico;NORMALE;P;2400;2800;L;6,4;8,2;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C9;FI00000233;13;Box;NORMALE;P;2000;2950;L;7,8;11,6;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C9;FI00000233;1;Ville e Villini;NORMALE;P;3000;4100;L;9,3;12,6;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C9;FI00000233;9;Magazzini;NORMALE;P;800;1400;L;3,9;6,9;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C9;FI00000233;5;Negozi;NORMALE;P;1400;2400;L;6,4;11;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C9;FI00000233;6;Uffici;NORMALE;P;1600;2600;L;5,5;8,9;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;C9;FI00000233;10;Laboratori;NORMALE;P;800;1600;L;3,8;7,6;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D11;FI00000242;20;Abitazioni civili;NORMALE;P;2350;3100;L;7,2;9,6;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D11;FI00000242;21;Abitazioni di tipo economico;NORMALE;P;1950;2500;L;6;7,7;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D11;FI00000242;13;Box;NORMALE;P;1350;2000;L;5;7,3;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D11;FI00000242;9;Magazzini;NORMALE;P;750;1400;L;3,6;6,8;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D11;FI00000242;5;Negozi;NORMALE;P;1400;2500;L;6,8;12,1;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D11;FI00000242;6;Uffici;NORMALE;P;1700;2700;L;5,8;9,2;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D11;FI00000242;10;Laboratori;NORMALE;P;800;1300;L;3,8;6,2;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D12;FI00000243;9;Magazzini;NORMALE;P;850;1600;L;4,2;7,9;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D12;FI00000243;5;Negozi;NORMALE;P;1500;2400;L;7,4;11,8;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D12;FI00000243;6;Uffici;NORMALE;P;1500;2400;L;6,1;9,8;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D12;FI00000243;8;Capannoni industriali;NORMALE;P;600;1200;L;2,9;5,8;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D12;FI00000243;7;Capannoni tipici;NORMALE;P;700;1300;L;3,4;6,3;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D12;FI00000243;10;Laboratori;NORMALE;P;800;1500;L;3,8;7,1;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D13;FI00001085;20;Abitazioni civili;NORMALE;P;2800;3900;L;8,2;11,4;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D13;FI00001085;21;Abitazioni di tipo economico;NORMALE;P;2150;3000;L;6,5;9;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D13;FI00001085;13;Box;NORMALE;P;2100;3100;L;8,1;11,9;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D13;FI00001085;1;Ville e Villini;NORMALE;P;3500;5200;L;10,8;16;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D13;FI00001085;5;Negozi;NORMALE;P;1550;2800;L;6,2;11,2;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D13;FI00001085;6;Uffici;NORMALE;P;1800;3300;L;6,5;11,8;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D16;FI00001180;20;Abitazioni civili;NORMALE;P;2300;3100;L;9,7;14,5;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D16;FI00001180;21;Abitazioni di tipo economico;NORMALE;P;1950;2500;L;7;9;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D16;FI00001180;13;Box;NORMALE;P;1500;2250;L;5,8;8,6;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D16;FI00001180;9;Magazzini;NORMALE;P;800;1400;L;3,8;6,7;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D16;FI00001180;5;Negozi;NORMALE;P;1400;2700;L;6,5;12,6;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D16;FI00001180;6;Uffici;NORMALE;P;1400;2700;L;5,4;10,4;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D17;FI00001182;20;Abitazioni civili;NORMALE;P;2100;2700;L;7;10,4;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D17;FI00001182;21;Abitazioni di tipo economico;NORMALE;P;1700;2400;L;6,2;8,8;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D17;FI00001182;13;Box;NORMALE;P;1400;2100;L;5,4;8,1;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D17;FI00001182;9;Magazzini;NORMALE;P;800;1500;L;3,9;7,4;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D17;FI00001182;5;Negozi;NORMALE;P;1400;2700;L;6,4;12,4;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D17;FI00001182;6;Uffici;NORMALE;P;1400;2500;L;5,4;9,6;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D17;FI00001182;8;Capannoni industriali;NORMALE;P;700;1200;L;3,4;5,8;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D17;FI00001182;7;Capannoni tipici;NORMALE;P;700;1300;L;3,4;6,3;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D17;FI00001182;10;Laboratori;NORMALE;P;800;1400;L;3,8;6,7;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D18;FI00001183;20;Abitazioni civili;NORMALE;P;2350;3100;L;8,7;13;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D18;FI00001183;21;Abitazioni di tipo economico;NORMALE;P;1750;2600;L;6,3;9,3;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D18;FI00001183;13;Box;NORMALE;P;1600;2400;L;6,3;9,4;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D18;FI00001183;1;Ville e Villini;NORMALE;P;2600;3700;L;8;11,4;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D18;FI00001183;9;Magazzini;NORMALE;P;700;1400;L;3,4;6,8;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D18;FI00001183;5;Negozi;NORMALE;P;1300;2450;L;6,1;11,4;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D18;FI00001183;6;Uffici;NORMALE;P;1450;2600;L;5,6;10;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D18;FI00001183;7;Capannoni tipici;NORMALE;P;700;1300;L;3,1;5,7;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D18;FI00001183;10;Laboratori;NORMALE;P;700;1400;L;3,4;6,8;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;D19;FI00001184;20;Abitazioni civili;NORMALE;P;2150;2950;L;6,8;9,3;L;
